Comunidad,Estación,Máx. núm. de días de lluvia en el mes valor,Máx. núm. de días de lluvia en el mes mes,Máx. núm. de días de lluvia en el mes año,Máx. núm. de días de nieve en el mes valor,Máx. núm. de días de nieve en el mes mes,Máx. núm. de días de nieve en el mes año,Máx. núm. de días de tormenta en el mes valor,Máx. núm. de días de tormenta en el mes mes,Máx. núm. de días de tormenta en el mes año,Prec. máx. en un día (l/m2) valor,Prec. máx. en un día (l/m2) mes,Prec. máx. en un día (l/m2) año,Prec. mensual más alta (l/m2) valor,Prec. mensual más alta (l/m2) mes,Prec. mensual más alta (l/m2) año,Prec. mensual más baja (l/m2) valor,Prec. mensual más baja (l/m2) mes,Prec. mensual más baja (l/m2) año,Racha máx. viento: velocidad (km/h),Racha máx. viento: dirección,Racha máx. viento: mes,Racha máx. viento: año,Tem. máx. absoluta (°C) valor,Tem. máx. absoluta (°C) mes,Tem. máx. absoluta (°C) año,Tem. media de las máx. más alta (°C) valor,Tem. media de las máx. más alta (°C) mes,Tem. media de las máx. más alta (°C) año,Tem. media de las mín. más baja (°C) valor,Tem. media de las mín. más baja (°C) mes,Tem. media de las mín. más baja (°C) año,Tem. media más alta (°C) valor,Tem. media más alta (°C) mes,Tem. media más alta (°C) año,Tem. media más baja (°C) valor,Tem. media más baja (°C) mes,Tem. media más baja (°C) año,Tem. mín. absoluta (°C) valor,Tem. mín. absoluta (°C) mes,Tem. mín. absoluta (°C) año
Andalucía,Almería,21,abr,1946,2,dic,1949,7,may,1962,98.3,sept,1951,193.5,dic,1943,0.0,dic,1979,119,Suroeste,mar,1971,39.6,jul,1979,30.9,ago,1949,5.7,feb,1956,27.0,ago,1975,9.5,feb,1956,0.2,feb,1935
Andalucía,Almería Aeropuerto,20,dic,1996,,,,5,oct,1986,99.2,sept,2019,154.5,dic,2016,0.0,dic,2020,137,Oeste,oct,1980,42.0,ago,2022,33.8,ago,2022,5.9,ene,1981,29.3,ago,2024,10.8,feb,2012,0.1,ene,2005
Andalucía,Cádiz,25,mar,2018,,,,6,dic,2000,155.0,oct,2008,459.8,nov,1961,0.0,oct,1985,146,Este,oct,2008,43.0,ago,1982,31.4,ago,2010,5.8,feb,1956,27.8,ago,2010,9.1,feb,1956,-1.0,feb,1956
Andalucía,Jerez de la Frontera Aeropuerto,25,mar,2018,,,,8,dic,2009,116.4,oct,2024,608.9,dic,1996,0.0,sept,1988,142,Sur,oct,2001,45.1,ago,2003,37.9,ago,2023,0.8,feb,2012,28.7,ago,2010,8.0,feb,1956,-5.4,dic,1979
Andalucía,"Rota, Base Naval",26,ene,1996,2,ene,1960,10,dic,1963,126.2,oct,2008,458.6,dic,1996,0.0,ago,2024,115,Suroeste,nov,2002,42.2,jul,2006,33.6,jul,2022,1.8,feb,2012,27.8,jul,2022,9.0,feb,2012,-4.7,ene,2005
Andalucía,Tarifa,23,dic,1995,1,mar,1993,11,dic,1996,139.0,ene,1970,477.9,dic,1927,0.0,sept,2004,166,Suroeste,dic,1989,37.4,sept,1966,30.5,ago,1949,6.8,feb,1956,26.1,ago,1949,9.9,feb,1956,-3.3,ene,2005
Andalucía,Córdoba Aeropuerto,24,dic,1996,2,ene,2006,9,may,1998,154.3,nov,1997,355.0,dic,1996,0.0,sept,2017,128,Suroeste,oct,2023,46.9,ago,2021,40.4,jul,2022,-0.9,feb,2012,30.8,jul,2020,7.2,dic,1967,-8.2,ene,2005
Andalucía,Granada Aeropuerto,23,dic,1996,4,ene,2003,7,sept,2019,82.6,nov,2024,195.1,nov,1983,0.0,sept,1973,108,Oeste,mar,2018,46.0,ago,2021,39.6,jul,2015,-4.8,ene,2005,28.8,jul,2023,4.6,ene,1992,-14.2,ene,1987
Andalucía,Granada Base Aérea,24,abr,1946,6,feb,1944,9,ago,1944,69.3,sept,2007,194.8,nov,1983,0.0,nov,1948,126,Sur,feb,1963,43.8,ago,2021,37.7,jul,2015,-3.1,ene,1941,28.9,jul,2015,3.3,feb,1956,-13.4,feb,1954
Andalucía,Huelva,23,ene,1970,1,oct,1932,9,nov,1983,92.0,oct,1940,336.0,nov,1983,0.0,sept,1974,122,Sur,dic,1973,43.0,ago,1982,35.7,ago,1949,1.5,feb,1938,28.4,ago,1949,7.4,feb,1956,-5.8,feb,1938
Andalucía,"Huelva, Ronda Este",26,ene,1996,,,,7,dic,2010,160.0,sept,1997,386.2,dic,1996,0.0,dic,1993,117,Sur,dic,1998,43.9,jul,2022,36.6,ago,2023,1.7,feb,2012,28.8,ago,2023,9.3,ene,2005,-3.2,ene,2005
